ps,sd,ps2,sd2,osize,oaflas,ohsn,cpl,css,cslw,ms,mlw,sw,trq
538/540 (FS) ,0.87,538/540 (FS) ,0.87,2-237 ,1042605,812776,"100134735
100571889 (INC-625)
101049669 (INC-718)",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 ,0.87,538/540 (FS) ,0.87,2-237 ,1042605,812776,"100134735
100571889 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 (FS) ,0.87,538/540 ,0.87,2-237 ,1042605,812776,"100134735
100571889 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 ,1,538/540 ,1,2-237 ,1042605,812776,"155192
100570719 (INC-625) ",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 (FS) ,1,538/540 (FS) ,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625) ",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 ,1,538/540 (FS) ,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 (FS) ,1,538/540 ,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 (FS) ,1.18,538/540 (FS) ,1.18,2-237 ,1042605,812776,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
538/540 (FS) ,1.18,540/540 ,1,2-237 ,1042605,812776,"100134021
100910760 (INC-718)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540,0.87,540,0.87,2-237 ,1042605,812776,"178301
100567606 (INC-625)
100883101 (INC-718)",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540,1,540,1,2-237 ,1042605,812776,"155192
100570719 (INC-625) ",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540 (FS) ,1,540 (FS) ,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625) ",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540,1,540 (FS) ,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540 (FS) ,1,540,1,2-237 ,1042605,812776,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
540,1.18,540,1.18,2-237 ,1042605,812776,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
562,1,562,1,2-241 ,1072511,997635,"155192
100570719 (INC-625) ",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562,1,562/540 ,1,2-241 ,1072511,997635,"155192
100570719 (INC-625) ",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1,562,1,2-241 ,1072511,997635,"100135005
100910412 (INC-625) ",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1,562 (FS) ,1,2-241 ,1072511,997635,"100135005
100910412 (INC-625) ",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562,1.18,562,1.18,2-241 ,1072511,997635,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1.18,562 (FS) ,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562,1.18,562 (FS) ,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1.18,562,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
